DataNotaFiscal,Fabricante,Estado,ValorVenda,ValorCusto,TotalDesconto,CustoEntrega,CustoMaoDeObra,NomeCliente,Modelo,Cor,Ano
02/07/2013,Aston Martin,São Paulo,124500,62000,1000,450,984,Aldo Motors,Vanquish,Verde,2013
02/08/2013,Aston Martin,São Paulo,130000,62000,1250,450,895,Aldo Motors,DB9,Azul,2013
02/09/2013,Aston Martin,São Paulo,110000,62000,0,0,486,Honest John,DB9,Azul,2013
02/10/2013,Aston Martin,São Paulo,178500,62000,0,450,325,Bright Orange,Vanquish,Vermelho,2013
02/11/2013,Aston Martin,São Paulo,130000,125000,0,1750,658,Wheels'R'Us,Rapide,Vermelho,2013
02/12/2013,Aston Martin,São Paulo,110000,125000,0,1750,752,Cut'n'Shut,Vanquish,Vermelho,2013
01/01/2012,Jaguar,Rio de Janeiro,44000,25000,500,450,486,Rocky Riding,XK,Púrpura,2012
01/02/2012,Jaguar,Rio de Janeiro,45000,37500,500,450,486,Rocky Riding,XJ6,Verde,2012
01/03/2012,Jaguar,Espírito Santo,39500,25000,500,0,486,Voitures Diplomatiques S.A.,XJ12,Preto,2012
01/04/2012,Jaguar,Minas Gerais,44000,37500,500,500,486,Les Arnaqueurs,XK,Prata,2012
01/05/2012,Jaguar,São Paulo,44000,25000,500,500,486,Bright Orange,XJ12,Prata,2012
01/06/2012,Jaguar,São Paulo,39500,37500,500,500,486,Honest John,XK,Azul,2012
01/07/2012,Jaguar,São Paulo,44000,25000,500,1750,486,Wheels'R'Us,XK,Verde,2012
01/08/2012,Jaguar,São Paulo,110000,50000,750,500,486,Cut'n'Shut,XJ12,Azul,2012
01/09/2012,Jaguar,Rio de Janeiro,110000,25000,750,1750,987,Rocky Riding,XJ12,Prata,2012
01/10/2012,Jaguar,Espírito Santo,44000,37500,750,1750,987,Voitures Diplomatiques S.A.,XJ6,Verde,2012
01/11/2012,Jaguar,São Paulo,39500,25000,0,500,987,Aldo Motors,XK,Púrpura,2012
01/12/2012,Jaguar,São Paulo,44000,37500,0,500,987,Aldo Motors,XK,Preto,2012
02/01/2013,Jaguar,São Paulo,44000,25000,0,1750,987,Honest John,XK,Verde,2013
02/02/2013,Jaguar,São Paulo,44000,37500,0,500,987,Bright Orange,XK,Púrpura,2013
02/03/2013,Jaguar,São Paulo,39500,25000,750,500,987,Cut'n'Shut,XJ6,Vermelho,2013
02/04/2013,Jaguar,São Paulo,110000,37500,750,500,987,Wheels'R'Us,XJ6,Vermelho,2013
02/05/2013,Jaguar,São Paulo,44000,25000,750,500,987,Crippen & Co,XJ6,Vermelho,2013
02/06/2013,Jaguar,Espírito Santo,39500,37500,500,450,987,Voitures Diplomatiques S.A.,XK,Púrpura,2013
02/07/2013,Jaguar,Rio de Janeiro,39500,25000,500,450,750,Rocky Riding,XK,Verde,2013
02/08/2013,Jaguar,São Paulo,39500,12500,500,450,750,Crippen & Co,XK,Preto,2013
02/09/2013,Jaguar,Minas Gerais,39500,25000,500,500,750,Les Arnaqueurs,XK,Azul,2013
02/10/2013,Jaguar,São Paulo,39500,37500,750,500,750,Wheels'R'Us,XK,Prata,2013
02/11/2013,Jaguar,São Paulo,39500,25000,750,500,1250,Wheels'R'Us,XK,Prata,2013
02/12/2013,Jaguar,São Paulo,39500,37500,750,500,1250,Cut'n'Shut,XJ6,Verde,2013
01/01/2012,Bentley,São Paulo,39500,25700,750,500,1250,Cut'n'Shut,Continental,Azul,2012
01/02/2012,Bentley,São Paulo,44000,25700,750,500,1250,Bright Orange,Arnage,Azul,2012
01/03/2012,Bentley,São Paulo,44000,25700,750,500,987,Bright Orange,Azure,Vermelho,2012
01/04/2012,Bentley,São Paulo,110000,25700,750,775,1250,Honest John,Turbo R,Vermelho,2012
01/05/2012,Bentley,São Paulo,110000,62000,750,775,987,Honest John,Continental,Prata,2012
01/06/2012,Bentley,São Paulo,110000,62000,500,775,1250,Aldo Motors,Continental,Púrpura,2012
01/07/2012,Bentley,São Paulo,110000,25700,500,775,987,Aldo Motors,Continental,Verde,2012
01/08/2012,Bentley,Espírito Santo,110000,25700,500,775,1250,Voitures Diplomatiques S.A.,Azure,Preto,2012
01/09/2012,Bentley,Rio de Janeiro,44000,25700,500,775,987,Rocky Riding,Turbo R,Prata,2012
01/10/2012,Bentley,Minas Gerais,110000,62000,500,500,1250,Les Arnaqueurs,Continental,Prata,2012
01/11/2012,Bentley,São Paulo,44000,62000,500,450,987,Aldo Motors,Continental,Prata,2012
01/12/2012,Bentley,São Paulo,44000,62000,500,450,987,Honest John,Continental,Azul,2012
02/01/2013,Bentley,São Paulo,110000,25700,500,450,1250,Bright Orange,Continental,Azul,2013
02/02/2013,Bentley,São Paulo,110000,25700,500,500,750,Cut'n'Shut,Continental,Verde,2013
02/03/2013,Bentley,São Paulo,41250,25700,500,775,750,Wheels'R'Us,Azure,Azul,2013
02/04/2013,Bentley,Minas Gerais,110000,25700,500,775,750,Les Arnaqueurs,Turbo R,Vermelho,2013
02/05/2013,Bentley,São Paulo,39500,62000,500,775,750,Crippen & Co,Turbo R,Vermelho,2013
02/06/2013,Bentley,Rio de Janeiro,39500,62000,500,500,486,Rocky Riding,Continental,Vermelho,2013
02/07/2013,Bentley,São Paulo,39500,25700,500,500,486,Aldo Motors,Continental,Púrpura,2013
02/08/2013,Bentley,São Paulo,41250,62000,500,775,486,Honest John,Continental,Púrpura,2013
02/09/2013,Bentley,Minas Gerais,39500,62000,1250,450,486,Les Arnaqueurs,Continental,Verde,2013
02/10/2013,Bentley,São Paulo,44000,62000,1000,450,486,Wheels'R'Us,Continental,Preto,2013
02/11/2013,Bentley,São Paulo,44000,25700,1000,450,486,Honest John,Azure,Azul,2013
02/12/2013,Bentley,São Paulo,44000,25700,1000,450,486,Aldo Motors,Turbo R,Prata,2013
02/01/2013,Jaguar,Paraná,29750,37500,150,50,486,Costa Del Speed,XK,Vermelho,2013
02/02/2013,TVR,Bahia,41250,37500,150,50,325,Karz,Tuscan,Azul,2013
02/03/2013,Jaguar,Paraná,39500,37500,150,50,325,Costa Del Speed,XK,Verde,2013
02/04/2013,TVR,Bahia,29750,37500,150,50,325,Karz,Cerbera,Prata,2013
02/05/2013,Jaguar,Espírito Santo,120000,37500,150,50,325,Voitures Diplomatiques S.A.,XK,Prata,2013
02/06/2013,TVR,Rio de Janeiro,29750,37500,150,50,325,Rocky Riding,Tuscan,Azul,2013
02/07/2013,Jaguar,São Paulo,41250,37500,150,50,325,Honest John,XK,Prata,2013
02/08/2013,TVR,Minas Gerais,29750,37500,150,50,325,Les Arnaqueurs,Cerbera,Prata,2013
02/09/2013,Jaguar,São Paulo,39500,37500,150,50,325,Wheels'R'Us,XK,Verde,2013
02/10/2013,TVR,Rio de Janeiro,41250,37500,150,50,325,Rocky Riding,Tuscan,Azul,2013
02/11/2013,Jaguar,São Paulo,29750,37500,150,50,325,Wheels'R'Us,XK,Azul,2013
02/12/2013,Jaguar,São Paulo,41250,37500,150,50,325,Bright Orange,XJ6,Azul,2013
02/01/2013,Jaguar,São Paulo,39500,25700,150,50,250,Olde Englande,XJ6,Púrpura,2013
02/02/2013,Jaguar,São Paulo,39500,25700,150,50,250,Impressive Wheels,XJ6,Verde,2013
02/03/2013,Jaguar,São Paulo,39500,25700,150,50,250,Olde Englande,XJ6,Preto,2013
02/04/2013,Jaguar,São Paulo,39500,62000,150,50,250,Smooth Riders,XK,Azul,2013
02/05/2013,Jaguar,São Paulo,41250,62000,150,50,250,Luxury Rentals,XK,Prata,2013
02/06/2013,Jaguar,São Paulo,41250,25700,150,50,250,Premium Motor Vehicles,XJ6,Prata,2013
02/07/2013,Jaguar,São Paulo,39500,25700,150,50,250,Luxury Rentals,XJ6,Prata,2013
02/08/2013,Jaguar,São Paulo,39500,25700,150,50,250,Aldo Motors,XK,Prata,2013
02/09/2013,Jaguar,São Paulo,39500,62000,150,50,250,Honest John,XK,Prata,2013
02/10/2013,Jaguar,São Paulo,39500,25700,150,50,250,Honest John,XJ6,Prata,2013
02/11/2013,Jaguar,São Paulo,41250,62000,150,50,250,Bright Orange,XK,Azul,2013
02/12/2013,Jaguar,São Paulo,41250,62000,150,50,250,Cut'n'Shut,XK,Azul,2013
02/01/2013,MGB,São Paulo,39500,4500,150,50,325,Wheels'R'Us,GT,Verde,2013
02/02/2013,MGB,São Paulo,39500,8500,150,50,325,Olde Englande,GT,Verde,2013
02/03/2013,MGB,São Paulo,25250,4500,150,50,325,Wheels'R'Us,GT,Vermelho,2013
02/04/2013,MGB,São Paulo,22500,8500,150,50,325,Wheels'R'Us,GT,Vermelho,2013
02/05/2013,MGB,São Paulo,22500,4500,150,50,325,Cut'n'Shut,GT,Vermelho,2013
02/06/2013,MGB,São Paulo,22500,8500,150,50,325,Cut'n'Shut,GT,Vermelho,2013
02/07/2013,MGB,São Paulo,25250,4500,150,50,325,Bright Orange,GT,Azul,2013
02/08/2013,MGB,São Paulo,22500,8500,150,50,325,Honest John,GT,Verde,2013
02/09/2013,MGB,São Paulo,25250,4500,150,50,325,Aldo Motors,GT,Prata,2013
02/10/2013,MGB,São Paulo,22500,8500,150,50,325,Honest John,GT,Prata,2013
02/11/2013,MGB,São Paulo,25250,4500,150,50,325,Bright Orange,GT,Azul,2013
02/12/2013,MGB,São Paulo,22500,4500,150,50,325,Aldo Motors,GT,Verde,2013
02/01/2013,Triumph,São Paulo,22500,8500,150,50,325,Luxury Rentals,TR4,Preto,2013
02/02/2013,Triumph,São Paulo,25250,17000,150,50,325,Smooth Riders,TR5,Púrpura,2013
02/03/2013,Triumph,São Paulo,22500,8500,150,50,325,Honest John,TR7,Verde,2013
02/04/2013,Triumph,São Paulo,22500,17000,150,50,325,Impressive Wheels,TR4,Azul,2013
02/05/2013,Triumph,São Paulo,22500,8500,150,50,325,Bright Orange,TR4,Prata,2013
02/06/2013,Triumph,Paraná,22500,17000,150,50,325,Costa Del Speed,TR5,Prata,2013
02/07/2013,Triumph,São Paulo,25250,17000,150,50,325,Cut'n'Shut,TR5,Azul,2013
02/08/2013,Triumph,São Paulo,22500,17000,150,50,325,Wheels'R'Us,TR4,Azul,2013
02/09/2013,Triumph,São Paulo,25250,17000,150,50,325,Olde Englande,TR4,Vermelho,2013
02/10/2013,Triumph,São Paulo,25250,17000,150,50,325,Impressive Wheels,TR7,Vermelho,2013
02/11/2013,Triumph,São Paulo,25250,17000,150,50,325,Cut'n'Shut,TR4,Verde,2013
02/12/2013,Triumph,São Paulo,25250,17000,150,50,450,Bright Orange,TR5,Prata,2013
09/01/2013,Aston Martin,Minas Gerais,74500,31125,500,975,1250,Chateau Moi,DB7,Vermelho,2013
10/01/2013,Aston Martin,Minas Gerais,69250,17500,1250,975,1250,Vive la Vitesse!,DB7,Azul,2013
11/02/2013,Aston Martin,Minas Gerais,22750,22500,500,975,950,Carosse Des Papes,Vantage,Verde,2013
12/03/2013,Aston Martin,Espírito Santo,37000,17500,1000,975,1250,Three Country Cars,Vantage,Prata,2013
13/03/2013,Rolls Royce,Espírito Santo,74500,31125,750,975,1250,Jungfrau,Camargue,Prata,2013
14/03/2013,Aston Martin,Minas Gerais,45800,17500,1000,975,950,Chateau Moi,DB7,Azul,2013
15/04/2013,Rolls Royce,Minas Gerais,22750,22500,2500,350,1250,Vive la Vitesse!,Camargue,Preto,2013
16/04/2013,Aston Martin,Minas Gerais,45800,17500,1250,350,1250,Carosse Des Papes,Vantage,Vermelho,2013
17/05/2013,Aston Martin,Espírito Santo,37000,17500,1000,350,1250,Three Country Cars,DB7,Azul,2013
18/05/2013,Aston Martin,Espírito Santo,45800,17500,500,975,1250,Jungfrau,Vantage,Verde,2013
19/05/2013,Aston Martin,Minas Gerais,37690,22500,1000,975,950,Chateau Moi,DB7,Prata,2013
20/06/2013,Aston Martin,Minas Gerais,74500,17500,2500,975,1250,Vive la Vitesse!,Vantage,Prata,2013
21/07/2013,Rolls Royce,Minas Gerais,45800,17500,1250,975,1250,Carosse Des Papes,Camargue,Azul,2013
22/07/2013,Aston Martin,Espírito Santo,37000,22500,1000,275,1250,Three Country Cars,DB7,Preto,2013
23/09/2013,Aston Martin,Espírito Santo,37690,17500,1250,275,1250,Jungfrau,DB9,Vermelho,2013
24/10/2013,Rolls Royce,Espírito Santo,69250,17500,500,275,950,Jungfrau,Camargue,Azul,2013
25/11/2013,Aston Martin,Minas Gerais,37690,31125,1000,975,1250,Vive la Vitesse!,DB9,Verde,2013
26/11/2013,Aston Martin,Espírito Santo,74500,17500,750,975,1250,Jungfrau,DB7,Prata,2013
27/11/2013,Aston Martin,Minas Gerais,37690,17500,500,975,1250,Carosse Des Papes,DB9,Prata,2013
04/10/2014,Rolls Royce,São Paulo,97750,55000,550,725,750,Aldo Motors,Camargue,Prata,2014
01/01/2014,Aston Martin,São Paulo,122750,80000,50,1475,550,Honest John,DBS,Azul,2014
02/02/2014,Rolls Royce,São Paulo,90750,80000,800,975,550,Bright Orange,Prata Ghost,Verde,2014
03/03/2014,Rolls Royce,São Paulo,91750,93000,50,975,550,Honest John,Prata Ghost,Azul,2014
04/04/2014,Rolls Royce,São Paulo,94750,67000,50,1475,550,Wheels'R'Us,Camargue,Prata,2014
04/05/2014,Rolls Royce,São Paulo,105250,130000,50,975,550,Cut'n'Shut,Camargue,Verde,2014
04/06/2014,Aston Martin,São Paulo,112750,61000,800,475,550,Bright Orange,DBS,Púrpura,2014
04/07/2014,Aston Martin,Minas Gerais,127750,28500,2550,975,550,Les Arnaqueurs,DB7,Vermelho,2014
04/08/2014,Aston Martin,São Paulo,132750,20500,50,975,750,Aldo Motors,DB9,Azul,2014
04/09/2014,Aston Martin,São Paulo,77750,80890,50,975,750,Aldo Motors,DB9,Prata,2014
04/11/2014,Aston Martin,Minas Gerais,71250,104000,50,1475,750,Les Arnaqueurs,DB4,Azul,2014
04/11/2014,Aston Martin,São Paulo,97750,130000,50,1475,750,Wheels'R'Us,Vantage,Prata,2014
04/12/2014,Aston Martin,São Paulo,157750,130000,5050,1475,750,Bright Orange,Vanquish,Prata,2014
04/12/2014,Aston Martin,São Paulo,97750,160000,50,1475,570,Cut'n'Shut,Rapide,Preto,2014
02/01/2015,Aston Martin,Minas Gerais,181250,130000,50,1725,570,Les Arnaqueurs,Zagato,Verde,2015
02/02/2015,Rolls Royce,São Paulo,132750,67000,50,1725,570,Wheels'R'Us,Prata Ghost,Prata,2015
02/03/2015,Rolls Royce,São Paulo,181250,67000,50,965,654,Cut'n'Shut,Wraith,Prata,2015
02/04/2015,Rolls Royce,São Paulo,112750,80890,50,475,987,Bright Orange,Prata Ghost,Verde,2015
02/05/2015,Rolls Royce,São Paulo,132750,67000,1000,1725,654,Honest John,Camargue,Preto,2015
02/06/2015,Rolls Royce,São Paulo,181250,80890,50,1725,321,Aldo Motors,Prata Shadow,Vermelho,2015
02/07/2015,Rolls Royce,São Paulo,112750,67000,1800,475,951,Aldo Motors,Prata Seraph,Vermelho,2015
02/08/2015,Rolls Royce,São Paulo,105250,67000,50,975,987,Honest John,Prata Ghost,Preto,2015
02/09/2015,Rolls Royce,São Paulo,132750,67000,50,425,750,Bright Orange,Prata Shadow,Verde,2015
02/10/2015,Rolls Royce,São Paulo,181250,80890,50,1725,654,Wheels'R'Us,Camargue,Púrpura,2015
02/11/2015,Rolls Royce,São Paulo,181250,80890,800,1725,987,Cut'n'Shut,Prata Seraph,Preto,2015
02/12/2015,Rolls Royce,São Paulo,132750,80890,50,1725,321,Wheels'R'Us,Prata Ghost,Vermelho,2015
02/01/2015,Rolls Royce,São Paulo,181250,67000,50,475,654,Wheels'R'Us,Phantom,Verde,2015
02/02/2015,Aston Martin,São Paulo,181250,80890,50,475,987,Cut'n'Shut,DB9,Púrpura,2015
02/03/2015,Aston Martin,São Paulo,112750,80890,50,475,963,Cut'n'Shut,DB4,Preto,2015
02/04/2015,Aston Martin,São Paulo,181250,80890,50,50,852,Bright Orange,DB9,Preto,2015
02/05/2015,Aston Martin,São Paulo,112750,80890,"50,01",475,147,Bright Orange,DB4,Azul,2015
02/06/2015,Aston Martin,São Paulo,105250,80890,800,425,852,Honest John,DB4,Prata,2015
02/07/2015,Aston Martin,São Paulo,181250,67000,1050,425,654,Aldo Motors,Vanquish,Prata,2015
02/08/2015,Aston Martin,São Paulo,127250,67000,1300,425,984,Aldo Motors,Vanquish,Verde,2015
02/09/2015,Aston Martin,São Paulo,132750,67000,50,75,895,Honest John,DB9,Prata,2015
02/10/2015,Aston Martin,São Paulo,112750,67000,50,425,486,Bright Orange,DB9,Azul,2015
02/11/2015,Aston Martin,São Paulo,181250,67000,50,1725,325,Wheels'R'Us,Vanquish,Vermelho,2015
02/12/2015,Aston Martin,São Paulo,132750,130000,50,1725,658,Cut'n'Shut,Rapide,Vermelho,2015
01/01/2014,Aston Martin,Rio de Janeiro,112750,130000,550,425,752,Rocky Riding,Vanquish,Vermelho,2014
01/02/2014,Jaguar,Rio de Janeiro,46750,30000,550,425,486,Rocky Riding,XK,Púrpura,2014
01/03/2014,Jaguar,Espírito Santo,47750,42500,550,75,486,Voitures Diplomatiques S.A.,XJ6,Verde,2014
01/04/2014,Jaguar,Minas Gerais,42250,30000,550,475,486,Les Arnaqueurs,XJ12,Preto,2014
01/05/2014,Jaguar,São Paulo,46750,42500,550,475,486,Bright Orange,XK,Prata,2014
01/06/2014,Jaguar,São Paulo,46750,30000,550,475,486,Honest John,XJ12,Prata,2014
01/07/2014,Jaguar,São Paulo,42250,42500,550,1725,486,Wheels'R'Us,XK,Prata,2014
01/08/2014,Jaguar,São Paulo,46750,30000,800,475,486,Cut'n'Shut,XK,Verde,2014
01/09/2014,Jaguar,Rio de Janeiro,112750,55000,800,1725,486,Rocky Riding,XJ12,Azul,2014
01/10/2014,Jaguar,Espírito Santo,112750,30000,800,1725,987,Voitures Diplomatiques S.A.,XJ12,Prata,2014
01/11/2014,Jaguar,São Paulo,46750,42500,50,475,987,Aldo Motors,XJ6,Verde,2014
01/12/2014,Jaguar,São Paulo,42250,30000,50,475,987,Aldo Motors,XK,Púrpura,2014
02/01/2015,Jaguar,São Paulo,46750,42500,50,1725,987,Honest John,XK,Prata,2015
02/02/2015,Jaguar,São Paulo,46750,30000,50,475,987,Bright Orange,XK,Verde,2015
02/03/2015,Jaguar,São Paulo,46750,42500,800,475,987,Cut'n'Shut,XK,Púrpura,2015
02/04/2015,Jaguar,São Paulo,42250,30000,800,475,987,Wheels'R'Us,XJ6,Vermelho,2015
02/05/2015,Jaguar,São Paulo,112750,42500,800,475,987,Crippen & Co,XJ6,Vermelho,2015
02/06/2015,Jaguar,Espírito Santo,46750,30000,550,425,987,Voitures Diplomatiques S.A.,XJ6,Vermelho,2015
02/07/2015,Jaguar,Rio de Janeiro,42250,42500,550,425,987,Rocky Riding,XK,Púrpura,2015
02/08/2015,Jaguar,São Paulo,42250,30000,550,425,750,Crippen & Co,XK,Verde,2015
02/09/2015,Jaguar,Minas Gerais,42250,17500,550,475,750,Les Arnaqueurs,XK,Preto,2015
02/10/2015,Jaguar,São Paulo,42250,30000,800,475,750,Wheels'R'Us,XK,Prata,2015
02/11/2015,Jaguar,São Paulo,42250,42500,800,475,750,Wheels'R'Us,XK,Prata,2015
02/12/2015,Jaguar,São Paulo,42250,30000,800,475,1250,Cut'n'Shut,XK,Prata,2015
01/01/2014,Jaguar,São Paulo,42250,42500,800,475,1250,Cut'n'Shut,XJ6,Verde,2014
01/02/2014,Bentley,São Paulo,42250,30700,800,475,1250,Bright Orange,Continental,Azul,2014
01/03/2014,Bentley,São Paulo,46750,30700,800,475,1250,Bright Orange,Arnage,Prata,2014
01/04/2014,Bentley,São Paulo,46750,30700,800,750,987,Honest John,Azure,Vermelho,2014
01/05/2014,Bentley,São Paulo,112750,30700,800,750,1250,Honest John,Turbo R,Vermelho,2014
01/06/2014,Bentley,São Paulo,112750,67000,550,750,987,Aldo Motors,Continental,Prata,2014
01/07/2014,Bentley,São Paulo,112750,67000,550,750,1250,Aldo Motors,Continental,Prata,2014
01/08/2014,Bentley,Espírito Santo,112750,30700,550,750,987,Voitures Diplomatiques S.A.,Continental,Verde,2014
01/09/2014,Bentley,Rio de Janeiro,112750,30700,550,750,1250,Rocky Riding,Azure,Preto,2014
01/10/2014,Bentley,Minas Gerais,46750,30700,550,475,987,Les Arnaqueurs,Turbo R,Prata,2014
01/11/2014,Bentley,São Paulo,112750,67000,550,425,1250,Aldo Motors,Continental,Prata,2014
01/12/2014,Bentley,São Paulo,46750,67000,550,425,987,Honest John,Continental,Prata,2014
02/01/2015,Bentley,São Paulo,46750,67000,550,425,987,Bright Orange,Continental,Azul,2015
02/02/2015,Bentley,São Paulo,112750,30700,550,475,1250,Cut'n'Shut,Continental,Azul,2015
02/03/2015,Bentley,São Paulo,112750,30700,550,750,750,Wheels'R'Us,Continental,Verde,2015
02/04/2015,Bentley,Minas Gerais,44000,30700,550,750,750,Les Arnaqueurs,Azure,Azul,2015
02/05/2015,Bentley,São Paulo,112750,30700,550,750,750,Crippen & Co,Turbo R,Vermelho,2015
02/06/2015,Bentley,Rio de Janeiro,42250,67000,550,475,750,Rocky Riding,Turbo R,Vermelho,2015
02/07/2015,Bentley,São Paulo,42250,67000,550,475,486,Aldo Motors,Continental,Vermelho,2015
02/08/2015,Bentley,São Paulo,42250,30700,550,750,486,Honest John,Continental,Púrpura,2015
02/09/2015,Bentley,Minas Gerais,44000,67000,1300,425,486,Les Arnaqueurs,Continental,Púrpura,2015
02/10/2015,Bentley,São Paulo,42250,67000,1050,425,486,Wheels'R'Us,Continental,Verde,2015
02/11/2015,Bentley,São Paulo,46750,67000,1050,425,486,Honest John,Continental,Preto,2015
02/12/2015,Bentley,São Paulo,46750,30700,1050,425,486,Aldo Motors,Azure,Azul,2015
02/01/2015,Bentley,Paraná,46750,30700,200,25,486,Costa Del Speed,Turbo R,Prata,2015
02/02/2015,Jaguar,Bahia,32500,42500,200,25,486,Karz,XK,Vermelho,2015
02/03/2015,TVR,Paraná,44000,42500,200,25,325,Costa Del Speed,Tuscan,Azul,2015
02/04/2015,Jaguar,Bahia,42250,42500,200,25,325,Karz,XK,Verde,2015
02/05/2015,TVR,Espírito Santo,32500,42500,200,25,325,Voitures Diplomatiques S.A.,Cerbera,Prata,2015
02/06/2015,Jaguar,Rio de Janeiro,122750,42500,200,25,325,Rocky Riding,XK,Prata,2015
02/07/2015,TVR,São Paulo,32500,42500,200,25,325,Honest John,Tuscan,Azul,2015
02/08/2015,Jaguar,Minas Gerais,44000,42500,200,25,325,Les Arnaqueurs,XK,Prata,2015
02/09/2015,TVR,São Paulo,32500,42500,200,25,325,Wheels'R'Us,Cerbera,Prata,2015
02/10/2015,Jaguar,Rio de Janeiro,42250,42500,200,25,325,Rocky Riding,XK,Vermelho,2015
02/11/2015,TVR,São Paulo,44000,42500,200,25,325,Wheels'R'Us,Tuscan,Azul,2015
02/12/2015,Jaguar,São Paulo,32500,42500,200,25,325,Bright Orange,XK,Azul,2015
02/01/2015,Jaguar,São Paulo,44000,42500,200,25,325,Olde Englande,XJ6,Azul,2015
02/02/2015,Jaguar,São Paulo,42250,30700,200,25,250,Impressive Wheels,XJ6,Púrpura,2015
02/03/2015,Jaguar,São Paulo,42250,30700,200,25,250,Olde Englande,XJ6,Verde,2015
02/04/2015,Jaguar,São Paulo,42250,30700,200,25,250,Smooth Riders,XJ6,Preto,2015
02/05/2015,Jaguar,São Paulo,42250,67000,200,25,250,Luxury Rentals,XK,Vermelho,2015
02/06/2015,Jaguar,São Paulo,44000,67000,200,25,250,Premium Motor Vehicles,XK,Prata,2015
02/07/2015,Jaguar,São Paulo,44000,30700,200,25,250,Luxury Rentals,XJ6,Prata,2015
02/08/2015,Jaguar,São Paulo,42250,30700,200,25,250,Aldo Motors,XJ6,Prata,2015
02/09/2015,Jaguar,São Paulo,42250,30700,200,25,250,Honest John,XK,Prata,2015
02/10/2015,Jaguar,São Paulo,42250,67000,200,25,250,Honest John,XK,Prata,2015
